"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상","2023년12월_남_총인구수","2023년12월_남_연령구간인구수","2023년12월_남_0~9세","2023년12월_남_10~19세","2023년12월_남_20~29세","2023년12월_남_30~39세","2023년12월_남_40~49세","2023년12월_남_50~59세","2023년12월_남_60~69세","2023년12월_남_70~79세","2023년12월_남_80~89세","2023년12월_남_90~99세","2023년12월_남_100세 이상","2023년12월_여_총인구수","2023년12월_여_연령구간인구수","2023년12월_여_0~9세","2023년12월_여_10~19세","2023년12월_여_20~29세","2023년12월_여_30~39세","2023년12월_여_40~49세","2023년12월_여_50~59세","2023년12월_여_60~69세","2023년12월_여_70~79세","2023년12월_여_80~89세","2023년12월_여_90~99세","2023년12월_여_100세 이상"
"전라남도 광양시 다압면(4623036000)","1,674","1,674","25","69","88","73","120","292","472","272","231","31","1","838","838","13","36","58","31","76","173","252","114","78","7","0","836","836","12","33","30","42","44","119","220","158","153","24","1"
"전라남도 광양시 골약동(4623051500)","7,204","7,204","1,405","547","593","1,886","1,106","679","450","283","205","48","2","3,779","3,779","708","296","316","982","613","391","251","137","72","13","0","3,425","3,425","697","251","277","904","493","288","199","146","133","35","2"
"전라남도 광양시 중마동(4623053000)","57,810","57,810","4,975","7,204","7,770","7,963","10,089","12,083","5,439","1,525","652","105","5","30,574","30,574","2,535","3,679","4,502","4,383","5,213","6,350","2,966","721","213","12","0","27,236","27,236","2,440","3,525","3,268","3,580","4,876","5,733","2,473","804","439","93","5"
"전라남도 광양시 광영동(4623054000)","10,838","10,838","562","1,001","1,227","996","1,471","2,618","1,993","638","285","45","2","5,738","5,738","266","517","706","580","796","1,441","1,028","316","86","2","0","5,100","5,100","296","484","521","416","675","1,177","965","322","199","43","2"
"전라남도 광양시 금호동(4623055000)","10,496","10,496","577","1,105","1,644","1,101","1,136","2,338","1,882","565","129","19","0","5,785","5,785","291","572","1,116","665","579","1,188","977","355","39","3","0","4,711","4,711","286","533","528","436","557","1,150","905","210","90","16","0"
"전라남도 광양시 태인동(4623057000)","1,570","1,570","28","79","143","103","163","304","371","219","139","21","0","876","876","15","38","108","68","112","186","205","106","35","3","0","694","694","13","41","35","35","51","118","166","113","104","18","0"
"전라남도 담양군 (4671000000)","45,373","45,373","1,973","2,912","3,831","3,355","4,763","7,977","9,429","6,032","4,403","664","34","22,961","22,961","977","1,501","2,221","1,729","2,641","4,408","5,040","2,848","1,446","147","3","22,412","22,412","996","1,411","1,610","1,626","2,122","3,569","4,389","3,184","2,957","517","31"
"전라남도 담양군 담양읍(4671025000)","15,271","15,271","1,109","1,268","1,558","1,562","1,997","2,509","2,500","1,584","1,018","156","10","7,612","7,612","518","667","869","778","1,050","1,311","1,293","740","350","35","1","7,659","7,659","591","601","689","784","947","1,198","1,207","844","668","121","9"
"전라남도 담양군 봉산면(4671031000)","2,626","2,626","91","81","178","173","260","465","610","410","305","53","0","1,372","1,372","50","42","99","99","170","264","337","182","119","10","0","1,254","1,254","41","39","79","74","90","201","273","228","186","43","0"
"전라남도 담양군 고서면(4671032000)","2,975","2,975","71","149","207","187","234","527","751","497","306","45","1","1,498","1,498","29","69","123","104","134","289","390","249","103","8","0","1,477","1,477","42","80","84","83","100","238","361","248","203","37","1"
