"행정구역","2024년12월_전체세대","2024년12월_1인세대","2024년12월_2인세대","2024년12월_3인세대","2024년12월_4인세대","2024년12월_5인세대","2024년12월_6인세대","2024년12월_7인세대","2024년12월_8인세대","2024년12월_9인세대","2024년12월_10인이상세대"
"서울특별시 성북구 삼선동(1129055500)","11,431","6,030","2,327","1,552","1,161","276","59","17","8","0","1"
"서울특별시 성북구 동선동(1129057500)","9,734","6,819","1,475","794","508","109","21","5","2","0","1"
"서울특별시 성북구 돈암제1동(1129058000)","6,010","1,918","1,653","1,250","943","201","37","6","0","2","0"
"서울특별시 성북구 돈암제2동(1129059000)","8,531","1,792","2,070","2,205","1,902","436","92","21","8","2","3"
"서울특별시 성북구 안암동(1129060000)","10,082","7,286","1,347","772","522","120","26","6","1","1","1"
"서울특별시 성북구 보문동(1129061000)","8,128","3,953","1,838","1,245","868","180","33","9","0","1","1"
"서울특별시 성북구 정릉제1동(1129062000)","7,281","2,286","1,771","1,635","1,211","288","70","15","2","1","2"
"서울특별시 성북구 정릉제2동(1129063000)","9,780","3,500","2,542","1,970","1,358","295","79","30","4","2","0"
"서울특별시 성북구 정릉제3동(1129064000)","7,959","4,780","1,582","854","561","128","41","6","2","2","3"
"서울특별시 성북구 정릉제4동(1129065000)","10,769","4,029","2,838","2,045","1,425","329","70","24","5","3","1"
"서울특별시 성북구 길음제1동(1129066000)","12,820","2,636","2,737","3,344","3,359","595","106","26","10","3","4"
"서울특별시 성북구 길음제2동(1129068500)","8,478","2,356","1,982","2,044","1,643","371","63","15","4","0","0"
"서울특별시 성북구 종암동(1129070500)","16,929","6,868","3,874","3,107","2,435","529","88","23","5","0","0"
"서울특별시 성북구 월곡제1동(1129071500)","10,690","3,532","2,705","2,189","1,775","387","80","19","2","1","0"
"서울특별시 성북구 월곡제2동(1129072500)","9,580","4,831","2,055","1,406","996","226","48","12","6","0","0"
"서울특별시 성북구 장위제1동(1129076000)","10,579","4,183","2,685","1,868","1,431","328","66","14","3","1","0"
"서울특별시 성북구 장위제2동(1129077000)","6,554","3,046","1,737","994","581","155","35","4","1","1","0"
"서울특별시 성북구 장위제3동(1129078000)","6,417","2,106","1,421","1,438","1,189","225","27","10","0","1","0"
"서울특별시 성북구 석관동(1129081000)","16,647","7,526","4,187","2,793","1,666","372","82","17","3","0","1"
"서울특별시 강북구 (1130500000)","143,063","67,218","35,360","22,076","14,279","3,202","717","139","43","10","19"
"서울특별시 강북구 삼양동(1130553400)","11,482","4,835","3,012","1,936","1,324","296","58","14","7","0","0"
"서울특별시 강북구 미아동(1130553500)","11,734","6,734","2,529","1,443","802","171","40","8","4","1","2"
"서울특별시 강북구 송중동(1130554500)","13,691","6,304","3,318","2,206","1,449","317","72","17","4","1","3"
"서울특별시 강북구 송천동(1130555500)","12,395","6,203","3,099","1,760","1,044","236","47","3","2","1","0"
"서울특별시 강북구 삼각산동(1130557500)","11,510","2,824","2,687","2,766","2,581","519","98","27","7","1","0"
"서울특별시 강북구 번1동(1130559500)","9,652","5,866","1,975","1,026","633","113","34","3","0","1","1"
"서울특별시 강북구 번2동(1130560300)","7,418","3,300","2,147","1,167","606","156","33","5","1","0","3"
"서울특별시 강북구 번3동(1130560800)","7,632","2,986","2,295","1,277","821","205","38","8","2","0","0"
"서울특별시 강북구 수유1동(1130561500)","10,479","5,407","2,531","1,436","850","189","50","9","2","1","4"
"서울특별시 강북구 수유2동(1130562500)","9,728","4,010","2,693","1,686","1,030","231","64","8","3","2","1"
"서울특별시 강북구 수유3동(1130563500)","13,628","8,388","2,732","1,468","787","194","41","11","4","1","2"
"서울특별시 강북구 우이동(1130564500)","9,600","4,133","2,615","1,564","984","230","61","9","3","0","1"
"서울특별시 강북구 인수동(1130566000)","14,114","6,228","3,727","2,341","1,368","345","81","17","4","1","2"
"서울특별시 도봉구 (1132000000)","138,759","52,729","36,960","26,225","17,806","3,948","814","195","59","17","6"
"서울특별시 도봉구 창제1동(1132051100)","10,943","4,238","2,824","2,097","1,453","262","49","15","4","1","0"
"서울특별시 도봉구 창제2동(1132051200)","12,569","4,615","3,469","2,426","1,588","366","71","27","5","2","0"
"서울특별시 도봉구 창제3동(1132051300)","6,365","2,736","1,768","1,035","647","141","29","5","3","1","0"
"서울특별시 도봉구 창제4동(1132051400)","11,300","3,874","2,736","2,372","1,879","356","59","14","7","1","2"
"서울특별시 도봉구 창제5동(1132051500)","10,308","3,551","2,682","2,143","1,524","304","77","19","4","4","0"
"서울특별시 도봉구 도봉제1동(1132052100)","10,206","4,811","2,841","1,460","821","213","44","12","3","1","0"
"서울특별시 도봉구 도봉제2동(1132052200)","11,892","4,359","3,385","2,306","1,407","328","83","16","6","1","1"
"서울특별시 도봉구 쌍문제1동(1132066000)","9,556","3,740","2,558","1,794","1,098","277","64","19","5","1","0"
"서울특별시 도봉구 쌍문제2동(1132067000)","8,416","3,400","2,371","1,446","944","196","45","9","3","0","2"
"서울특별시 도봉구 쌍문제3동(1132068000)","8,182","3,827","2,001","1,350","795","172","27","8","1","1","0"
"서울특별시 도봉구 쌍문제4동(1132068100)","7,106","1,804","1,903","1,736","1,350","251","47","10","4","1","0"
"서울특별시 도봉구 방학제1동(1132069000)","12,900","5,493","3,161","2,193","1,552","395","86","15","4","0","1"
"서울특별시 도봉구 방학제2동(1132070000)","9,101","4,100","2,458","1,444","826","221","41","7","3","1","0"
"서울특별시 도봉구 방학제3동(1132071000)","9,915","2,181","2,803","2,423","1,922","466","92","19","7","2","0"
"서울특별시 노원구 (1135000000)","217,743","80,081","53,545","42,548","33,632","6,434","1,160","239","61","27","16"
"서울특별시 노원구 월계1동(1135056000)","9,998","4,705","2,199","1,584","1,163","290","43","9","5","0","0"
"서울특별시 노원구 월계2동(1135057000)","11,663","4,490","3,185","2,113","1,486","316","59","12","0","2","0"
"서울특별시 노원구 월계3동(1135058000)","12,870","4,600","3,678","2,597","1,587","309","81","14","3","1","0"
"서울특별시 노원구 공릉1동(1135059500)","18,664","9,772","3,908","2,613","1,857","414","82","14","1","2","1"
"서울특별시 노원구 공릉2동(1135060000)","17,938","6,695","3,840","3,566","3,107","604","99","17","4","5","1"
"서울특별시 노원구 하계1동(1135061100)","12,260","5,651","2,436","1,974","1,812","309","55","14","4","2","3"
"서울특별시 노원구 하계2동(1135061200)","8,133","2,031","2,009","1,989","1,747","295","50","8","3","1","0"
"서울특별시 노원구 중계본동(1135061900)","7,964","1,703","1,502","1,904","2,237","510","80","19","5","4","0"
"서울특별시 노원구 중계1동(1135062100)","8,922","1,508","1,564","2,493","2,854","426","57","13","6","0","1"
"서울특별시 노원구 중계4동(1135062400)","8,177","2,907","2,018","1,550","1,345","281","58","10","5","3","0"
"서울특별시 노원구 중계2.3동(1135062500)","14,826","5,655","4,168","2,725","1,915","297","49","12","3","1","1"
"서울특별시 노원구 상계1동(1135063000)","15,544","5,061","4,169","3,231","2,408","527","114","25","6","1","2"
"서울특별시 노원구 상계2동(1135064000)","8,500","3,379","1,910","1,585","1,320","242","57","5","2","0","0"
"서울특별시 노원구 상계3.4동(1135066500)","12,432","4,937","3,122","2,154","1,716","399","82","18","4","0","0"
"서울특별시 노원구 상계5동(1135067000)","10,896","4,614","2,850","1,892","1,210","271","45","10","1","0","3"
"서울특별시 노원구 상계6.7동(1135069500)","13,899","5,058","3,598","2,823","2,003","339","58","14","1","2","3"
"서울특별시 노원구 상계8동(1135070000)","9,106","2,463","2,787","2,215","1,402","208","21","5","4","0","1"
"서울특별시 노원구 상계9동(1135071000)","8,341","2,578","2,432","1,840","1,253","197","28","10","1","2","0"
"서울특별시 노원구 상계10동(1135072000)","7,610","2,274","2,170","1,700","1,210","200","42","10","3","1","0"
"서울특별시 은평구 (1138000000)","215,305","88,471","54,227","37,991","26,535","6,318","1,335","284","87","28","29"
"서울특별시 은평구 녹번동(1138051000)","17,481","7,698","4,492","2,917","1,873","386","90","19","5","0","1"
"서울특별시 은평구 불광제1동(1138052000)","17,972","7,578","4,679","3,186","1,982","428","93","18","7","1","0"
"서울특별시 은평구 불광제2동(1138053000)","14,135","7,120","3,500","2,064","1,100","275","57","15","4","0","0"
"서울특별시 은평구 갈현제1동(1138055100)","7,220","3,445","1,746","1,112","721","158","34","3","1","0","0"
"서울특별시 은평구 갈현제2동(1138055200)","12,753","5,082","3,393","2,287","1,529","356","78","19","4","1","4"
"서울특별시 은평구 구산동(1138056000)","13,499","4,984","3,560","2,607","1,757","458","94","22","7","4","6"
"서울특별시 은평구 대조동(1138057000)","15,533","8,751","3,620","1,793","1,066","228","57","13","4","1","0"
"서울특별시 은평구 응암제1동(1138058000)","15,059","6,264","3,735","2,647","1,855","442","84","18","4","4","6"
"서울특별시 은평구 응암제2동(1138059000)","10,994","3,125","2,751","2,644","1,958","400","83","19","8","4","2"
"서울특별시 은평구 응암제3동(1138060000)","12,551","6,551","3,024","1,702","978","224","54","14","3","0","1"
"서울특별시 은평구 역촌동(1138062500)","20,885","8,661","5,396","3,738","2,367","570","117","25","8","3","0"
"서울특별시 은평구 신사제1동(1138063100)","11,973","4,524","3,275","2,301","1,445","333","70","17","5","1","2"
"서울특별시 은평구 신사제2동(1138063200)","8,688","3,444","2,263","1,597","1,073","238","55","12","3","1","2"
"서울특별시 은평구 증산동(1138064000)","6,857","2,389","1,807","1,269","1,014","308","54","10","4","2","0"
"서울특별시 은평구 수색동(1138065000)","8,522","2,312","2,356","1,864","1,548","361","62","14","4","1","0"
"서울특별시 은평구 진관동(1138069000)","21,183","6,543","4,630","4,263","4,269","1,153","253","46","16","5","5"
"서울특별시 서대문구 (1141000000)","146,221","66,364","32,466","24,716","17,689","3,855","849","201","52","20","9"
"서울특별시 서대문구 천연동(1141052000)","7,644","3,084","1,863","1,460","975","204","45","8","3","1","1"
"서울특별시 서대문구 북아현동(1141055500)","7,075","2,796","1,673","1,443","951","174","28","8","2","0","0"
"서울특별시 서대문구 충현동(1141056500)","9,979","5,093","2,062","1,455","1,063","248","43","11","2","1","1"
"서울특별시 서대문구 신촌동(1141058500)","15,027","12,119","1,556","734","457","107","37","9","4","2","2"
"서울특별시 서대문구 연희동(1141061500)","18,643","10,661","3,702","2,245","1,523","385","92","19","11","3","2"
"서울특별시 서대문구 홍제제1동(1141062000)","11,072","4,170","2,827","2,187","1,447","337","76","18","6","2","2"
"서울특별시 서대문구 홍제제3동(1141064000)","7,964","3,040","2,044","1,545","1,068","209","43","11","4","0","0"
"서울특별시 서대문구 홍제제2동(1141065500)","5,420","1,876","1,415","1,136","778","176","33","4","1","1","0"
"서울특별시 서대문구 홍은제1동(1141066000)","9,666","3,409","2,491","1,990","1,344","327","82","16","5","2","0"
"서울특별시 서대문구 홍은제2동(1141068500)","13,027","5,290","3,185","2,334","1,732","365","94","22","3","2","0"
"서울특별시 서대문구 남가좌제1동(1141069000)","6,167","1,397","1,330","1,626","1,446","284","60","21","2","1","0"
"서울특별시 서대문구 남가좌제2동(1141070000)","13,281","5,558","2,876","2,449","1,953","363","63","17","1","1","0"
"서울특별시 서대문구 북가좌제1동(1141071000)","6,752","1,709","1,687","1,638","1,314","303","76","18","5","2","0"
"서울특별시 서대문구 북가좌제2동(1141072000)","14,504","6,162","3,755","2,474","1,638","373","77","19","3","2","1"
"서울특별시 마포구 (1144000000)","181,135","87,948","39,135","28,124","20,556","4,183","861","234","58","27","9"
"서울특별시 마포구 아현동(1144055500)","12,391","3,941","3,118","2,898","2,033","303","74","18","2","3","1"
"서울특별시 마포구 공덕동(1144056500)","18,472","9,171","4,042","2,809","1,940","396","89","24","0","1","0"
"서울특별시 마포구 도화동(1144058500)","9,315","3,750","2,135","1,729","1,332","280","66","16","4","1","2"
"서울특별시 마포구 용강동(1144059000)","9,258","3,409","2,013","1,980","1,501","274","54","21","5","1","0"
"서울특별시 마포구 대흥동(1144060000)","8,642","5,611","1,416","816","648","121","22","5","2","0","1"
"서울특별시 마포구 염리동(1144061000)","7,736","3,272","1,590","1,438","1,185","198","35","14","4","0","0"
"서울특별시 마포구 신수동(1144063000)","10,087","4,030","2,315","1,925","1,464","282","46","19","3","3","0"
"서울특별시 마포구 서강동(1144065500)","12,207","6,035","2,404","1,971","1,444","259","68","16","7","2","1"
"서울특별시 마포구 서교동(1144066000)","15,199","10,325","2,572","1,242","827","170","43","13","4","3","0"
"서울특별시 마포구 합정동(1144068000)","9,109","5,141","2,104","1,057","615","151","28","9","2","1","1"
"서울특별시 마포구 망원제1동(1144069000)","10,081","5,262","2,411","1,283","881","188","42","11","2","1","0"
"서울특별시 마포구 망원제2동(1144070000)","8,298","3,433","2,173","1,363","1,062","206","48","11","1","1","0"
"서울특별시 마포구 연남동(1144071000)","8,346","5,098","1,675","877","524","134","22","7","3","5","1"
"서울특별시 마포구 성산제1동(1144072000)","9,572","4,838","2,182","1,323","908","244","51","15","9","2","0"
"서울특별시 마포구 성산제2동(1144073000)","19,676","9,806","4,261","2,964","2,074","459","86","20","4","1","1"
"서울특별시 마포구 상암동(1144074000)","12,746","4,826","2,724","2,449","2,118","518","87","15","6","2","1"
"서울특별시 양천구 (1147000000)","180,209","59,218","42,286","38,051","32,581","6,474","1,162","277","113","26","21"
