"행정구역","2023년12월_계_총세대수","2023년12월_계_연령구간세대수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상","2023년12월_남_총세대수","2023년12월_남_연령구간세대수","2023년12월_남_0~9세","2023년12월_남_10~19세","2023년12월_남_20~29세","2023년12월_남_30~39세","2023년12월_남_40~49세","2023년12월_남_50~59세","2023년12월_남_60~69세","2023년12월_남_70~79세","2023년12월_남_80~89세","2023년12월_남_90~99세","2023년12월_남_100세 이상","2023년12월_여_총세대수","2023년12월_여_연령구간세대수","2023년12월_여_0~9세","2023년12월_여_10~19세","2023년12월_여_20~29세","2023년12월_여_30~39세","2023년12월_여_40~49세","2023년12월_여_50~59세","2023년12월_여_60~69세","2023년12월_여_70~79세","2023년12월_여_80~89세","2023년12월_여_90~99세","2023년12월_여_100세 이상"
"광주광역시 동구 동명동(2911054500)","1,674","1,674","0","11","537","263","152","177","220","168","126","18","2","887","887","0","1","285","157","101","112","123","67","36","5","0","787","787","0","10","252","106","51","65","97","101","90","13","2"
"광주광역시 동구 계림1동(2911056000)","3,113","3,113","0","8","400","498","417","559","644","351","198","37","1","1,802","1,802","0","6","199","327","295","364","388","156","63","4","0","1,311","1,311","0","2","201","171","122","195","256","195","135","33","1"
"광주광역시 동구 계림2동(2911057000)","1,834","1,834","1","7","181","386","279","237","283","253","187","20","0","823","823","0","1","85","249","162","112","114","70","29","1","0","1,011","1,011","1","6","96","137","117","125","169","183","158","19","0"
"광주광역시 동구 산수1동(2911059000)","2,288","2,288","0","2","286","320","261","419","460","303","205","32","0","1,166","1,166","0","2","150","197","172","255","238","105","39","8","0","1,122","1,122","0","0","136","123","89","164","222","198","166","24","0"
"광주광역시 동구 산수2동(2911060000)","1,882","1,882","2","7","158","208","236","320","420","290","214","26","1","884","884","0","1","82","130","163","195","171","88","44","10","0","998","998","2","6","76","78","73","125","249","202","170","16","1"
"광주광역시 동구 지산1동(2911062000)","1,535","1,535","0","22","613","184","127","152","183","128","109","17","0","851","851","0","12","365","130","86","95","101","35","25","2","0","684","684","0","10","248","54","41","57","82","93","84","15","0"
"광주광역시 동구 지산2동(2911063000)","1,293","1,293","0","18","422","160","115","181","176","108","103","10","0","703","703","0","8","256","97","82","109","88","32","28","3","0","590","590","0","10","166","63","33","72","88","76","75","7","0"
"광주광역시 동구 서남동(2911065500)","1,855","1,855","0","20","885","254","123","181","183","111","79","18","1","1,039","1,039","0","7","476","162","84","132","104","48","23","2","1","816","816","0","13","409","92","39","49","79","63","56","16","0"
"광주광역시 동구 학동(2911068500)","1,447","1,447","0","7","295","206","159","199","246","194","127","14","0","627","627","0","3","132","128","89","110","95","47","20","3","0","820","820","0","4","163","78","70","89","151","147","107","11","0"
"광주광역시 동구 학운동(2911071000)","1,993","1,993","0","3","212","193","178","272","424","354","308","49","0","789","789","0","1","105","110","101","137","165","96","63","11","0","1,204","1,204","0","2","107","83","77","135","259","258","245","38","0"
