기준 일자,정류소 명,정류소 번호,정류소 ID,권역,행정동 명,X 좌표,위도,Y 좌표,경도
20260228,SK스카이뷰104동,37587,163000587,미추홀구,용현5동,168308.9305,126.6426474,438499.4061,37.44810384
20260228,SK스카이뷰109동,37607,163000607,미추홀구,용현5동,168424.9178,126.6439429,438854.6492,37.45130851
20260228,SK인천석유화학,42767,168000767,서구,석남1동,170035.9654,126.6618762,445569.8655,37.51186534
20260228,SK인천석유화학,42768,168000768,서구,석남1동,170074.2483,126.6623086,445583.8417,37.5119925
20260228,SK주유소,42956,168000956,서구,신현원창동,168912.0637,126.6491631,445599.272,37.51209305
20260228,SK주유소앞,35287,161000287,중구,신흥동,166685.6826,126.6243752,436910.0972,37.43372723
20260228,SK주유소앞,35539,161000539,중구,신흥동,166585.517,126.6232483,436803.6346,37.4327644
20260228,SK충전소,35085,161000085,중구,연안동,165275.6422,126.6083254,439420.1104,37.4562902
20260228,e편한세상 정문,38624,164000626,연수구,송도5동,165912.6232,126.6157473,434605.4028,37.41293398
20260228,e편한세상(109동 앞),32062,164000622,연수구,송도5동,166001.2382,126.6167643,434256.17,37.40979068
20260228,e편한세상(109동앞),38643,164000645,연수구,송도5동,165997.3845,126.6167228,434211.6585,37.40938949
20260228,e편한세상1차(정문),35662,161000662,중구,영종동,156827.2761,126.5127003,441845.8464,37.47778915
20260228,e편한세상1차(정문),35663,161000663,중구,영종동,156802.1938,126.5124153,441870.9287,37.47801396
20260228,e편한세상검단어반센트로,89554,168001554,서구,아라동,173748.5984,126.7035661,453988.9795,37.58783305
20260228,e편한세상검단어반센트로,89555,168001555,서구,아라동,173735.922,126.7034234,453964.8033,37.58761487
20260228,e편한세상계양,41038,167000038,계양구,효성1동,174628.4699,126.7137584,447341.2325,37.52796301
20260228,e편한세상계양,41037,167000037,계양구,효성2동,174618.554,126.7136466,447329.3756,37.5278559
20260228,e편한세상부평그랑힐스정문,40928,166000928,부평구,청천동,173590.123,126.7020511,446244.7968,37.5180551
20260228,e편한세상부평그랑힐스정문,40929,166000929,부평구,청천동,173609.834,126.7022742,446243.4238,37.5180433
20260228,e편한세상부평그랑힐스후문,40930,166000930,부평구,청천동,173559.7938,126.701721,445885.2664,37.51481492
20260228,e편한세상영종센텀베뉴정문,35510,161000510,중구,영종동,160364.3827,126.5526165,443170.423,37.48988189
20260228,e편한세상영종오션하임,35674,161000674,중구,영종1동,161781.9647,126.5686348,443368.2097,37.49172371
20260228,e편한세상영종오션하임,35761,161000761,중구,영종1동,161731.9958,126.5680764,443240.9885,37.49057541
20260228,e편한세상영종하늘도시,35646,161000646,중구,영종동,156856.996,126.5130421,441747.8288,37.47690743
20260228,e편한세상영종하늘도시,35647,161000647,중구,영종동,156941.16,126.5140008,441624.172,37.47579725
20260228,e편한세상주안에듀서밋아파트,37159,163000159,미추홀구,주안7동,171244.246,126.6758361,438060.8461,37.44424851
20260228,e편한세상주안에듀서밋아파트,37158,163000158,미추홀구,학익2동,171233.4428,126.6757148,438041.782,37.44407641
20260228,gym80fitness,37081,163000081,미추홀구,용현5동,167618.0247,126.6348216,438907.6999,37.45175856
20260228,㈜한슬,42814,168000814,서구,오류왕길동,165109.5221,126.6057191,454746.8173,37.59437349
20260228,가경공원,89365,168001365,서구,가정동,170721.5429,126.6695561,447432.067,37.52866545
