정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
가정보금자리,89119,2314,999,2314,999,0,110.43
가정보금자리,89120,200,1906,200,1906,0,70.2
가정여자중학교,42041,1386,7480,1386,7480,0,295.53
가정여자중학교,89527,1180,2049,1180,2049,0,107.63
가정중앙시장역,42215,1069,1567,1069,1567,0,87.87
가정중앙시장역,42219,1414,1334,1414,1334,0,91.6
가정택지삼거리,89385,211,176,211,176,0,12.9
가정택지삼거리,89386,275,590,275,590,0,28.83
가정휴먼시아3단지,89186,896,1352,896,1352,0,74.93
가정휴먼시아3단지,89187,1429,1080,1429,1080,0,83.63
가좌2동행정복지센터,42073,5197,394,5197,394,0,186.37
가좌2동행정복지센터,42076,201,5697,201,5697,0,196.6
가좌3동행정복지센터,42075,10935,13463,10935,13463,0,813.27
가좌4동행정복지센터,42062,3509,1904,3509,1904,0,180.43
가좌고등학교,42060,14868,12404,14868,12404,0,909.07
가좌고등학교,42061,5954,8847,5954,8847,0,493.37
가좌공단,42526,19,10483,19,10483,0,350.07
가좌공단,42945,7874,1094,7874,1094,0,298.93
가좌교회,42055,2653,2809,2653,2809,0,182.07
가좌교회,42057,3820,3973,3820,3973,0,259.77
가좌녹지공원,42029,1470,4121,1470,4121,0,186.37
가좌녹지공원,42030,2346,1515,2346,1515,0,128.7
가좌농협,42066,8531,6712,8531,6712,0,508.1
가좌농협,42067,5731,6436,5731,6436,0,405.57
가좌동차고,42939,3704,486,3704,486,0,139.67
가좌동차고지,42522,13,1027,13,1027,0,34.67
가좌두산위브104동앞,42090,4126,3532,4126,3532,0,255.27
가좌사거리,42043,29,222,29,222,0,8.37
가좌사거리,42044,424,3573,424,3573,0,133.23
가좌진주아파트,42100,14901,30946,14901,30946,0,1528.23
가좌초등학교,42069,4036,4184,4036,4184,0,274
가좌초등학교,42070,4812,2327,4812,2327,0,237.97
가좌테니스장,37454,2018,1073,2018,1073,0,103.03
가좌테니스장,37457,798,1163,798,1163,0,65.37
가좌현대아파트,42130,8690,2390,8690,2390,0,369.33
가좌현대아파트,42133,999,9128,999,9128,0,337.57
가좌홈플러스(쌍마아파트),42101,10099,7384,10099,7384,0,582.77
가좌홈플러스(쌍마아파트),42103,6725,11004,6725,11004,0,590.97
가좌환경사업소,42631,8304,5369,8304,5369,0,455.77
가좌환경사업소북측,89341,266,479,266,479,0,24.83
가좌환경사업소북측,89342,37,308,37,308,0,11.5
가천대학교,38270,1298,1172,1298,1172,0,82.33
가천대학교,38284,7841,3564,7841,3564,0,380.17
가천대학교(노인복지회관),38269,747,1226,747,1226,0,65.77
가천의대,43237,1,37,1,37,0,1.27
가천의대,43897,19,3,19,3,0,0.73
가톨릭대,43156,1,1,1,1,0,0.07
가톨릭대,43325,3,94,3,94,0,3.23
가현오일뱅크,42734,21,24,21,24,0,1.5
가현중학교,42722,3275,2813,3275,2813,0,202.93
가현초교앞(루에블리아파트),89242,2054,3529,2054,3529,0,186.1
가현초교앞(센트럴타운아파트),89243,4851,1319,4851,1319,0,205.67
각곡,43602,11,88,11,88,0,3.3
각곡,43772,132,17,125,17,7,4.97
간석4거리,39538,230,263,230,263,0,16.43
간석4동행정복지센터,39403,3781,7443,3781,7443,0,374.13
간석4동행정복지센터,39412,5315,2553,5315,2553,0,262.27
간석금호어울림아파트,39334,25420,14887,25420,14887,0,1343.57
간석남부역,37429,4320,972,4320,972,0,176.4
간석남부역,37435,10731,7688,10731,7688,0,613.97
간석남부역,37529,1629,3911,1629,3911,0,184.67
간석동용광경로당,39394,805,612,805,612,0,47.23
간석래미안.자이,39333,17014,17224,17014,17224,0,1141.27
간석북부역,39806,4476,111,4476,111,0,152.9
간석북부역,39807,25,2959,25,2959,0,99.47
간석북부역·우성1차,39368,13940,5033,13940,5033,0,632.43
간석북부역·우성1차,39370,5439,11119,5439,11119,0,551.93
간석사거리,39413,13565,9173,13565,9173,0,757.93
간석사거리,39414,4724,10326,4724,10326,0,501.67
간석사거리,39430,2752,2580,2752,2580,0,177.73
