facility_id,facility_name,district,address,observation_count,source_count,source_datasets,category_details,observation_ids,match_rule
fac_6fec214fa81c4723,우리사랑노인복지센터,연수구,인천광역시 연수구 함박뫼로84번길 46 101호 (연수동),2,1,nhis_ltc,재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,obs_0301dbaa6fc154b4 | obs_6578b0ac3f72d412,exact_normalized_district_name_address
fac_700fdd498bf41e45,인천노인재가복지센터,동구,인천광역시 동구 화도진로56번길 16 3층 (송현동),2,1,nhis_ltc,재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_544d4e5ed086c7da | obs_7f6690b2d516dc9d,exact_normalized_district_name_address
fac_7016f9e109dababf,사랑드림노인복지센터,부평구,"인천광역시 부평구 부흥북로107번길 18 (부개동,2층)",6,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 복지용구 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양 | 재가장기요양기관 복지용구,obs_12cfb77aef8fda45 | obs_15fba9e8869a60b2 | obs_1fd6c62b665f6d30 | obs_7a13cdf088582a1a | obs_bfabcdf3016668dc | obs_e66feff0c42bc85d,exact_normalized_district_name_address
fac_70455a2660dfbfb7,재가노인복지센터 리하원,서구,"인천광역시 서구 청라커낼로260번길 7-15 3층 (청라동, 반안프라자 3차)",6,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양 | 재가노인복지시설 주야간보호 | 주야간보호,obs_04aad493695216c7 | obs_1aace2c536da1bf2 | obs_484faf5b5364045b | obs_4d483ebb3867f236 | obs_b699861a741c637d | obs_f1394027f33e4e4f,exact_normalized_district_name_address
fac_705b1736fbfb0a72,참요양복지센터,부평구,"인천광역시 부평구 마장로324번길 33, 2층 1호 (산곡동)",5,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양 | 재가장기요양기관 복지용구,obs_2616406cef095e57 | obs_5a513059802cfb57 | obs_a6a0272928cee4ef | obs_b5eb385b78845058 | obs_c3216f5030ebfd2c,exact_normalized_district_name_address
fac_70631af7c4ff43e3,미소노인복지센터,부평구,인천광역시 부평구 마장로 49 106동 (십정동),2,1,nhis_ltc,재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_39be4edbe6c3cf35 | obs_8e4de9245a56eddb,exact_normalized_district_name_address
fac_70745f3cfb5308b8,혜안노인복지센터,남동구,인천광역시 남동구 문화서로3번길 8-1 101호 (구월동),2,1,nhis_ltc,재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_b1a57eeb160fedf9 | obs_dfd82ee3c51cd62f,exact_normalized_district_name_address
fac_7081b30747cbf3cf,영선방문요양센터,연수구,"인천광역시 연수구 청량로 210, 205호 (옥련동, 쌍용아파트상가)",3,2,incheon_elderly | nhis_ltc,방문요양 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,obs_34e24ae4aa805878 | obs_54f034cf0a693e2e | obs_e4163d291a74c822,exact_normalized_district_name_address
fac_709a8ba0a8041516,하이케어,미추홀구,"인천광역시 미추홀구 학익소로23번길 1, 7층 (학익동, 신화빌딩)",4,2,incheon_elderly | nhis_ltc,복지용구 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양 | 재가장기요양기관 복지용구,obs_1ed8cad8cf63a83c | obs_64916bae42787d5c | obs_9922e2bed96a77b4 | obs_b63526b1e4c4e24f,exact_normalized_district_name_address
fac_70c84fd0c62bfe82,세인트재활요양원,남동구,"인천광역시 남동구 앵고개로934번길 5, 6층 (논현동, 씨티짱)",2,2,incheon_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법),obs_8bf8350136a7ee59 | obs_e6acbae65aff68d2,exact_normalized_district_name_address
