geometry_zone_id,geometry_adm_cd_20250630,geometry_district_name_20250630,geometry_dong_name_20250630,geometry_base_date,current_admin_reference_date,current_district_name_20260701,current_admin_dong_codes_20260701,current_admin_dong_names_20260701,current_admin_dong_count,map_unit_status,mapping_methods,mapping_confidence,aggregation_required,metric_handling,population_reference_date,household_reference_date,total_population,population_age_65_plus,total_households,one_person_households,one_person_households_age_65_plus,population_age_65_plus_share,one_person_household_share,age_65_plus_one_person_share_of_age_65_plus_population,representative_longitude,representative_latitude,representative_point_method,bubble_metric_name,bubble_metric_label_ko,bubble_metric_value,bubble_metric_interpretation
vworld_sgis_20250630:23040600,23040600,연수구,옥련2동,20250630,20260701,연수구,2818564000,옥련2동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,19591,4009,8146,2335,820,0.204635,0.286644,0.204540,126.64457982,37.42811653,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),820,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23040640,23040640,연수구,송도1동,20250630,20260701,연수구,2818582000,송도1동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,36150,4809,14648,4919,523,0.133029,0.335814,0.108754,126.62772080,37.34519447,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),523,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23040650,23040650,연수구,송도3동,20250630,20260701,연수구,2818584000,송도3동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,49880,4181,20086,6160,504,0.083821,0.306681,0.120545,126.66609988,37.36660297,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),504,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23040660,23040660,연수구,송도2동,20250630,20260701,연수구,2818583000,송도2동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,37352,3080,12526,1866,359,0.082459,0.148970,0.116558,126.63931734,37.40466898,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),359,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23040680,23040680,연수구,송도4동,20250630,20260701,연수구,2818585000,송도4동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,56032,3881,20449,4098,422,0.069264,0.200401,0.108735,126.62437254,37.39017943,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),422,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23040690,23040690,연수구,송도5동,20250630,20260701,연수구,2818586000,송도5동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,46758,3745,17508,3427,417,0.080093,0.195739,0.111348,126.61411763,37.41715046,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),417,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23050510,23050510,남동구,구월1동,20250630,20260701,남동구,2820051000,구월1동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,30030,5755,13895,5559,1702,0.191642,0.400072,0.295743,126.71257917,37.44551551,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),1702,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23050521,23050521,남동구,구월2동,20250630,20260701,남동구,2820052000,구월2동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,36517,6425,13913,3107,1277,0.175945,0.223316,0.198755,126.71500842,37.45625078,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),1277,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23050530,23050530,남동구,구월3동,20250630,20260701,남동구,2820052100,구월3동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,28008,4312,17552,11396,1392,0.153956,0.649271,0.322820,126.70056646,37.44608950,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),1392,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23050540,23050540,남동구,구월4동,20250630,20260701,남동구,2820052200,구월4동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,12577,3679,7457,4323,1641,0.292518,0.579724,0.446045,126.72407031,37.44827831,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),1641,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23050550,23050550,남동구,간석1동,20250630,20260701,남동구,2820053000,간석1동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,18417,4419,9500,4406,1397,0.239941,0.463789,0.316135,126.70231457,37.46059410,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),1397,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23050561,23050561,남동구,간석2동,20250630,20260701,남동구,2820054000,간석2동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,20355,4612,9292,3687,1199,0.226578,0.396793,0.259974,126.71300493,37.46223415,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),1199,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
