source_date,mode,place_id,source_id,source_code,name,source_district,district,dong,admin_dong_code,latitude,longitude,coordinate_status,in_incheon
20260228,bus,bus:163000456,163000456,37456,가구단지사거리,미추홀구,미추홀구,도화23동,,37.4811361,126.6561606,valid_header_swapped,true
20260228,bus,bus:163000455,163000455,37455,가구단지사거리,미추홀구,미추홀구,도화23동,,37.4809749,126.6565673,valid_header_swapped,true
20260228,bus,bus:168000074,168000074,42074,가구전시장,서구,서해구,가좌1동,,37.4961187,126.6670993,valid_header_swapped,true
20260228,bus,bus:168000072,168000072,42072,가구전시장,서구,서해구,가좌1동,,37.4959091,126.6671990,valid_header_swapped,true
20260228,bus,bus:169000904,169000904,43904,가나안마을앞,강화군,강화군,불은면,,37.6770258,126.5006072,valid_header_swapped,true
20260228,bus,bus:169000905,169000905,43905,가나안마을앞,강화군,강화군,불은면,,37.6772035,126.5005189,valid_header_swapped,true
20260228,bus,bus:169000969,169000969,43969,가능포,강화군,강화군,양도면,,37.6522576,126.4260360,valid_header_swapped,true
20260228,bus,bus:169000970,169000970,43970,가능포,강화군,강화군,양도면,,37.6521020,126.4258499,valid_header_swapped,true
20260228,bus,bus:123000038,123000038,33038,가락시장역,코드정보 없음,코드정보 없음,가락1동,,37.4944743,127.1169304,outside_incheon_bounds,false
20260228,bus,bus:123000035,123000035,33035,가락시장역,코드정보 없음,코드정보 없음,가락1동,,37.4943563,127.1172922,outside_incheon_bounds,false
20260228,bus,bus:168000078,168000078,42078,가림고등학교,서구,서해구,가좌2동,,37.4924619,126.6805247,valid_header_swapped,true
20260228,bus,bus:117000021,117000021,18107,가산디지털단지역,기타,기타,금천구(가산동),,37.4808823,126.8815029,outside_incheon_bounds,false
20260228,bus,bus:117000020,117000020,18106,가산디지털단지역,기타,기타,금천구(가산동),,37.4812947,126.8810774,outside_incheon_bounds,false
20260228,bus,bus:168000808,168000808,42808,가야,서구,검단구,오류왕길동,,37.5877221,126.5991692,valid_header_swapped,true
20260228,bus,bus:168000807,168000807,42807,가야,서구,검단구,오류왕길동,,37.5878195,126.5993771,valid_header_swapped,true
20260228,bus,bus:115000626,115000626,25203,가양대교남단(미정차),코드정보 없음,코드정보 없음,가양3동,,37.5679011,126.8551434,outside_incheon_bounds,false
20260228,bus,bus:115000627,115000627,25202,가양대교남단(미정차),코드정보 없음,코드정보 없음,가양2동,,37.5677361,126.8548920,outside_incheon_bounds,false
20260228,bus,bus:115000163,115000163,25107,가양역.우성아파트,코드정보 없음,코드정보 없음,가양2동,,37.5621523,126.8534208,outside_incheon_bounds,false
20260228,bus,bus:232000661,232000661,80033,가오대입구,코드정보 없음,코드정보 없음,양촌면,,37.6550094,126.6148009,valid_header_swapped,false
