geometry_zone_id,geometry_adm_cd_20250630,geometry_district_name_20250630,geometry_dong_name_20250630,geometry_base_date,current_admin_dong_count,current_admin_dong_codes_20260701,current_district_names_20260701,current_dong_names_20260701,map_unit_status,aggregation_required,metric_handling,notes
vworld_sgis_20250630:23080780,23080780,서구,청라2동,20250630,1,2827553700,서해구,청라2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23080790,23080790,서구,청라3동,20250630,1,2827553900,서해구,청라3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23080800,23080800,서구,검단동,20250630,1,2829051000,검단구,검단동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23080810,23080810,서구,불로대곡동,20250630,1,2829052000,검단구,불로대곡동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23080840,23080840,서구,오류왕길동,20250630,1,2829055000,검단구,오류왕길동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23080850,23080850,서구,당하동,20250630,1,2829054000,검단구,당하동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23080860,23080860,서구,마전동,20250630,1,2829056000,검단구,마전동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23080870,23080870,서구,원당동,20250630,1,2829053000,검단구,원당동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23080880,23080880,서구,아라동,20250630,2,2829057000|2829058000,검단구,아라1동|아라2동,aggregated_split,true,sum_additive_counts_then_recompute_rates,분할된 현재 행정동들의 가산 지표를 기존 공간구역에 합산
vworld_sgis_20250630:23090520,23090520,미추홀구,숭의2동,20250630,1,2817751000,미추홀구,숭의2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090540,23090540,미추홀구,숭의4동,20250630,1,2817753000,미추홀구,숭의4동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090560,23090560,미추홀구,용현2동,20250630,1,2817755000,미추홀구,용현2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23090570,23090570,미추홀구,용현3동,20250630,1,2817756000,미추홀구,용현3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
