reference_year,reference_period,source_admin_code,source_admin_name,source_sido_name,source_sigungu_name,source_eupmyeondong_name,harmonization_status,households_total,one_person_households,two_person_households,three_person_households,four_person_households,five_person_households,six_person_households,seven_person_households,eight_person_households,nine_person_households,ten_plus_person_households,one_person_household_share_pct,source_file
2021,2021-12,2820051000,인천광역시 남동구 구월1동,인천광역시,남동구,구월1동,pre_reform_code_preserved_district_not_reorganized,13181,4479,3043,2606,2368,565,93,21,4,1,1,33.9807,jumin_households_size_202112.csv
2021,2021-12,2820052000,인천광역시 남동구 구월2동,인천광역시,남동구,구월2동,pre_reform_code_preserved_district_not_reorganized,12772,2641,2835,3170,3186,755,139,38,4,4,0,20.6780,jumin_households_size_202112.csv
2021,2021-12,2820052100,인천광역시 남동구 구월3동,인천광역시,남동구,구월3동,pre_reform_code_preserved_district_not_reorganized,17430,10508,3297,1929,1314,304,62,10,3,3,0,60.2869,jumin_households_size_202112.csv
2021,2021-12,2820052200,인천광역시 남동구 구월4동,인천광역시,남동구,구월4동,pre_reform_code_preserved_district_not_reorganized,7806,4005,1917,1010,666,166,31,7,4,0,0,51.3067,jumin_households_size_202112.csv
2021,2021-12,2820053000,인천광역시 남동구 간석1동,인천광역시,남동구,간석1동,pre_reform_code_preserved_district_not_reorganized,10384,4671,2559,1655,1132,300,53,13,1,0,0,44.9827,jumin_households_size_202112.csv
2021,2021-12,2820054000,인천광역시 남동구 간석2동,인천광역시,남동구,간석2동,pre_reform_code_preserved_district_not_reorganized,9441,3443,2146,1814,1556,362,94,20,4,2,0,36.4686,jumin_households_size_202112.csv
2021,2021-12,2820055000,인천광역시 남동구 간석3동,인천광역시,남동구,간석3동,pre_reform_code_preserved_district_not_reorganized,13121,5432,3485,2225,1508,380,74,15,1,0,1,41.3993,jumin_households_size_202112.csv
2021,2021-12,2820055100,인천광역시 남동구 간석4동,인천광역시,남동구,간석4동,pre_reform_code_preserved_district_not_reorganized,13452,5459,3303,2392,1782,407,84,19,3,2,1,40.5813,jumin_households_size_202112.csv
2021,2021-12,2820056000,인천광역시 남동구 만수1동,인천광역시,남동구,만수1동,pre_reform_code_preserved_district_not_reorganized,9023,4378,2379,1320,740,167,37,1,1,0,0,48.5204,jumin_households_size_202112.csv
2021,2021-12,2820057000,인천광역시 남동구 만수2동,인천광역시,남동구,만수2동,pre_reform_code_preserved_district_not_reorganized,9870,2834,2650,2059,1796,427,76,22,5,1,0,28.7133,jumin_households_size_202112.csv
