facility_id,facility_name,district,legal_dong,address,category_major,category_detail,facility_form,road_name_normalized,road_building_main,road_building_sub,matched_pnu,juso_current_district,juso_legal_dong,juso_admin_dong_code,juso_admin_dong_name,geocode_status,geocode_method,match_confidence,matched_juso_building_count,matched_vworld_polygon_count,source_latitude,source_longitude,geocoded_latitude,geocoded_longitude,best_latitude,best_longitude,coordinate_source,privacy_scope,requires_public_export_policy_review
fac_5f2bc9422c472680,세계로재가센터,미추홀구,주안동,"인천광역시 미추홀구 동주길135번길 20-14, 2층 (주안동)",노인복지,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,동주길135번길,20,14,2817710500104090012,미추홀구,주안동,2817765000,주안4동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.45788935,126.68417071,37.45788935,126.68417071,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5f4048dbe9d4107d,해피홈보육원,부평구,,인천광역시 부평구 경인로 898,아동·돌봄,아동양육시설,생활,경인로,898,0,2823710100106750002,부평구,부평동,2823752000,부평2동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,2,,,37.48579395,126.71990763,37.48579395,126.71990763,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5f43bcb173bfa372,e행복나눔요양기관,남동구,만수동,"인천광역시 남동구 백범로 132 3층306호 (만수동, 만수프라자)",노인복지,재가장기요양기관 단기보호 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양 | 재가장기요양기관 주야간보호,장기요양기관,백범로,132,0,2820010300100390000,남동구,만수동,2820058100,만수4동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.45563551,126.7327359,37.45563551,126.7327359,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5f59f0241265683a,나눔재가노인복지센터,계양구,병방동,인천광역시 계양구 계양산로 193번길 16-1(병방동),노인복지,방문목욕 | 방문요양 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,장기요양기관 | 재가복지,계양산로193번길,16,1,2824510700103480000,계양구,병방동,2824572000,계양2동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.54880453,126.73797318,37.54880453,126.73797318,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5f5fe41ed50a688e,엘피스,부평구,부개동,인천광역시 부평구 부흥로386번길 35(부개동),아동·돌봄,공동생활가정,생활,부흥로386번길,35,0,2823710700100950009,부평구,부개동,2823766000,부개2동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.49623835,126.73504912,37.49623835,126.73504912,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5f6257b0c8c6c180,가온누리재가노인복지센터,서구,심곡동,인천광역시 서구 심곡로24번길 7 101호 (심곡동),노인복지,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,심곡로24번길,7,0,2827510500103380006,서해구,심곡동,2827553000,연희동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.54159332,126.67212773,37.54159332,126.67212773,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5f70f2ae11eb15c6,다우요양원,중구,전동,인천광역시 중구 참외전로 52-6 (전동),노인복지,노인요양시설 | 노인요양시설(개정법),의료복지 | 장기요양기관,참외전로,52,6,2812514400100250223,제물포구,전동,2812556000,동인천동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,2,,,37.47925322,126.62567128,37.47925322,126.62567128,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5fc61a1ace47587e,동심원,연수구,동춘동,인천광역시 연수구 봉재산로 68(동춘동 325-4),장애인복지,장애인 거주시설,장애인 거주시설,봉재산로,68,0,2818510500103250004,연수구,동춘동,2818578000,동춘1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,3,4,37.406015,126.665079,37.40615131,126.66491907,37.406015,126.665079,source_dataset_coordinate,private_analysis_only,true
fac_5ff658ed6e10e18a,부평재가노인지원서비스센터,부평구,,인천광역시 부평구 경인로749,노인복지,재가노인복지시설,이용,경인로,749,0,2823710200105770004,부평구,십정동,2823753000,부평3동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,16,13,,,37.47683937,126.70904439,37.47683937,126.70904439,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_600dc3fb796bb88f,100세시대,미추홀구,주안동,인천광역시 미추홀구 경인로 497(주안동),노인복지,복지용구 | 재가장기요양기관 복지용구,장기요양기관 | 재가복지,경인로,497,0,2817710500109180019,미추홀구,주안동,2817767000,주안6동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.46025463,126.69457863,37.46025463,126.69457863,juso_pnu_vworld_representative_point,private_analysis_only,true
