current_admin_dong_code_20260701,current_district_name_20260701,current_dong_name_20260701,geometry_zone_id,geometry_adm_cd_20250630,geometry_district_name_20250630,geometry_dong_name_20250630,geometry_base_date,mapping_status,mapping_method,mapping_confidence,aggregation_required,aggregation_group_size,metric_handling,notes
2818576100,연수구,연수1동,vworld_sgis_20250630:23040530,23040530,연수구,연수1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2818576200,연수구,연수2동,vworld_sgis_20250630:23040540,23040540,연수구,연수2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2818576300,연수구,연수3동,vworld_sgis_20250630:23040550,23040550,연수구,연수3동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2818576600,연수구,청학동,vworld_sgis_20250630:23040560,23040560,연수구,청학동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2818578000,연수구,동춘1동,vworld_sgis_20250630:23040570,23040570,연수구,동춘1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2818579000,연수구,동춘2동,vworld_sgis_20250630:23040580,23040580,연수구,동춘2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2818579500,연수구,동춘3동,vworld_sgis_20250630:23040590,23040590,연수구,동춘3동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2818582000,연수구,송도1동,vworld_sgis_20250630:23040640,23040640,연수구,송도1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2818583000,연수구,송도2동,vworld_sgis_20250630:23040660,23040660,연수구,송도2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2818584000,연수구,송도3동,vworld_sgis_20250630:23040650,23040650,연수구,송도3동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2818585000,연수구,송도4동,vworld_sgis_20250630:23040680,23040680,연수구,송도4동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
