source_stop_number,source_stop_name,normalized_stop_name,stop_match_key,match_status,match_candidate_count,same_number_candidate_count,candidate_place_ids,candidate_names,place_id,master_source_id,master_stop_name,source_district,district,dong,latitude,longitude,coordinate_status,valid_wgs84,in_incheon,point_status,source_dates,route_row_count,distinct_route_count,distinct_route_number_count,distinct_route_direction_count,distinct_direction_count,directions,route_ids,route_numbers,major_via_yes_row_count
35808,인성여자고등학교,인성여자고등학교,35808|인성여자고등학교,matched,1,1,bus:161000808,인성여자고등학교,bus:161000808,161000808,인성여자고등학교,중구,제물포구,신포동,37.4732313,126.6247777,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000012,인천e음12,1
35809,인천소방항공대,인천소방항공대,35809|인천소방항공대,matched,1,1,bus:161000809,인천소방항공대,bus:161000809,161000809,인천소방항공대,중구,영종구,운북동,37.5206945,126.5015830,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,7,7,7,7,2,상행;하행,161000030;165000063;165000415;165000445;168000003;168000054;168000055,204;205;2201;221;223;중구1;중구9,0
35810,인천소방항공대,인천소방항공대,35810|인천소방항공대,matched,1,1,bus:161000810,인천소방항공대,bus:161000810,161000810,인천소방항공대,중구,영종구,운북동,37.5205095,126.5012056,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,7,7,7,7,2,상행;하행,161000030;165000063;165000415;165000445;168000003;168000054;168000055,204;205;2201;221;223;중구1;중구9,0
35812,신흥시장후문,신흥시장후문,35812|신흥시장후문,matched,1,1,bus:161000812,신흥시장후문,bus:161000812,161000812,신흥시장후문,중구,제물포구,도원동,37.4669997,126.6373419,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000012,인천e음12,0
35813,신흥시장후문,신흥시장후문,35813|신흥시장후문,matched,1,1,bus:161000813,신흥시장후문,bus:161000813,161000813,신흥시장후문,중구,제물포구,도원동,37.4669936,126.6371200,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,상행,168000035,인천e음11,0
35814,볼보트럭남인천사업소,볼보트럭남인천사업소,35814|볼보트럭남인천사업소,matched,1,1,bus:161000814,볼보트럭남인천사업소,bus:161000814,161000814,볼보트럭남인천사업소,중구,제물포구,신흥동,37.4386518,126.6180756,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,2,2,2,2,2,상행;하행,165000201;166000010,01월 16일;급행91,0
35815,인천국제수산물타운,인천국제수산물타운,35815|인천국제수산물타운,matched,1,1,bus:161000815,인천국제수산물타운,bus:161000815,161000815,인천국제수산물타운,중구,제물포구,연안동,37.4581936,126.6079833,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,165000027,24,0
35816,인천국제수산물타운,인천국제수산물타운,35816|인천국제수산물타운,matched,1,1,bus:161000816,인천국제수산물타운,bus:161000816,161000816,인천국제수산물타운,중구,제물포구,연안동,37.4583867,126.6082501,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,상행,165000027,24,0
35817,중산중고등학교,중산중고등학교,35817|중산중고등학교,matched,1,1,bus:161000817,중산중고등학교,bus:161000817,161000817,중산중고등학교,중구,영종구,중산동,37.4986317,126.5705025,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,상행,168000013,인천e음13,1
35819,영종블루오션,영종블루오션,35819|영종블루오션,matched,1,1,bus:161000819,영종블루오션,bus:161000819,161000819,영종블루오션,중구,영종구,중산동,37.4870798,126.5627019,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,2,2,2,2,2,상행;하행,161000032;168000041,206;중구8-1,0
35820,영종블루오션,영종블루오션,35820|영종블루오션,matched,1,1,bus:161000820,영종블루오션,bus:161000820,161000820,영종블루오션,중구,영종구,중산동,37.4868185,126.5622821,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,4,4,4,4,2,상행;하행,161000023;161000024;161000032;168000041,206;중구5-4;중구5-5(폐지);중구8-1,0
35821,하늘도시중심상가,하늘도시중심상가,35821|하늘도시중심상가,matched,1,1,bus:161000821,하늘도시중심상가,bus:161000821,161000821,하늘도시중심상가,중구,영종구,중산동,37.4886642,126.5603484,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,2,2,2,2,2,상행;하행,161000032;168000041,206;중구8-1,1
